南永井町（北之庄八島線の北川＆ＪＲ桜井線西側）,D,16
南中町,D,19
南半田中町,D,1
南半田西町,D,1
南半田東町,D,1
南袋町,D,19
南風呂町,D,19
####################################南市町,,7
####################################南椿尾町,,2
三松１～４丁目,E,13
三松ヶ丘,E,13
餅飯殿町,G,7
薬師堂町,D,7
八島町（県道高畑山線の東側）,G,2
八島町（県道高畑山線の西側）,H,2
柳町,G,7
山町（下記を除く地域）,H,2
山町（県道高畑山線の東側および南側）,G,2
油留木町,D,1
横井１～７丁目,H,2
横井町,H,2
横領町,B,8
六条１～３丁目,C,9
六条町,C,9
六条西１～６丁目,C,9
六条緑町１～３丁目,C,4
鹿野園町（岩井川の南側）,G,2
鹿野園町（岩井川の北側）,D,2
若葉台１～４丁目,B,8
脇戸町,D,19
#######
#月ヶ瀬石打,Z,20
#月ヶ瀬尾山,Z,20
#月ヶ瀬長引,Z,20
#月ヶ瀬嵩,Z,20
#月ヶ瀬月瀬,Z,20
#月ヶ瀬桃香野,Z,20
########
#都祁南之庄,Z,20
#都祁甲岡町,Z,20
#来迎寺町,Z,20
#都祁友田町,Z,20
#藺生町,Z,20
#都祁小山戸町,Z,20
#都祁相河町,Z,20
#都祁吐山町,Z,20
#都祁白石町,Z,20
#都祁こぶしが丘,Z,20
#針町,Z,20
#針ヶ別所町,Z,20
#小倉町,Z,20
#上深川町,Z,20
#下深川町,Z,20
#荻町,Z,20
#都祁馬場町,Z,20
