地名,センター,燃やせるごみ,燃やせないごみ,プラスチック製容器包装,再生資源ゴミ
三碓５丁目,奈良市清美公社,月 木,隔水20160413,金,20160704 20160801 20160829 20160926 20991231
三碓６丁目,奈良市清美公社,月 木,隔水20160413,火,20160704 20160801 20160829 20160926 20991231
三碓町（阪奈道路の南側）,奈良市清美公社,月 木,隔水20160413,火,20160616 20160714 20160811 20160908 20991231
三碓町（阪奈道路の北側）,奈良市清美公社,月 木,隔水20160413,金,20160616 20160714 20160811 20160908 20991231
三棟町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南魚屋町（ならまち大通りの南側）,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南魚屋町（ならまち大通りの北側）,奈良市清美公社,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南肘塚町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
南紀寺町１～５丁目 ,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南京終町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南京終町１～７丁目,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南城戸町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南新町（ミナミシンチョウ）,奈良市収集課,火 金,隔水20160406,月,20160705 20160802 20160830 20160927 20991231
南新町（ミナミシンマチ）,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南登美ヶ丘,奈良市収集課,月 木,隔水20160413,火,20160708 20160805 20160902 20160930 20991231
南永井町（下記を除く地域）,奈良市清美公社,火 金,隔水20160406,月,20160621 20160719 20160816 20160913 20991231
南永井町（北之庄八島線の北川＆ＪＲ桜井線西側）,奈良市収集課,火 金,隔水20160406,木,20160621 20160719 20160816 20160913 20991231
南中町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南半田中町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
南半田西町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
南半田東町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
南袋町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
南風呂町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231
三松１～４丁目,奈良市清美公社,月 木,隔水20160413,金,20160616 20160714 20160811 20160908 20991231
三松ヶ丘,奈良市清美公社,月 木,隔水20160413,金,20160616 20160714 20160811 20160908 20991231
餅飯殿町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
薬師堂町,奈良市収集課,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
八島町（県道高畑山線の東側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
八島町（県道高畑山線の西側）,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
柳町,奈良市清美公社,火 金,隔水20160406,木,20160705 20160802 20160830 20160927 20991231
山町（下記を除く地域）,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
山町（県道高畑山線の東側および南側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
油留木町,奈良市収集課,火 金,隔水20160406,木,20160627 20160725 20160822 20160919 20991231
横井１～７丁目,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
横井町,奈良市清美公社,火 金,隔水20160406,月,20160627 20160726 20160823 20160920 20991231
横領町,奈良市収集課,月 木,隔水20160413,金,20160706 20160803 20160831 20160928 20991231
六条１～３丁目,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
六条町,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
六条西１～６丁目,奈良市収集課,火 金,隔水20160406,月,20160707 20160804 20160901 20160929 20991231
六条緑町１～３丁目,奈良市収集課,火 金,隔水20160406,月,20160630 20160728 20160825 20160922 20991231
鹿野園町（岩井川の南側）,奈良市清美公社,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
鹿野園町（岩井川の北側）,奈良市収集課,火 金,隔水20160406,木,20160627 20160726 20160823 20160920 20991231
若葉台１～４丁目,奈良市収集課,月 木,隔水20160413,金,20160706 20160803 20160831 20160928 20991231
脇戸町,奈良市収集課,火 金,隔水20160406,木,20160624 20160722 20160819 20160916 20991231

